,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
667973,333.2286069444444,11.418813055555555,98.056,15.59,15.92,,35.03,,0.72,0.17,,170.5,15.52,,,,12.892,12.03,11.882,0.7,-35.0,15.59,0.316,0.205,170.5,98.056,11.854,15.355,,0.029112,0
667997,269.31222499999996,12.179533888888887,41.903,12.06,13.48,,33.22,,1.29,0.38,1.34,88.5,12.07,,,,10.868,10.203,9.894,0.5,90.0,12.06,1.41,0.634,86.7,41.903,9.831,17.632,0.009580000000000002,0.016664,0
668001,195.75466888888886,7.852183888888888,69.056,15.82,15.99,14.97,33.16,,0.8,0.22,,173.6,15.82,14.91,,,14.426,13.837,13.614,0.6,-5.0,15.82,0.631,0.38,173.6,69.056,13.602,16.077,0.009530000000000002,0.01616,0
668014,191.18418888888885,27.891658888888884,89.944,15.44,15.83,14.86,34.87,,0.76,0.18,0.76,97.9,15.44,14.83,,,14.478,13.892,13.757,0.5,-70.0,15.44,0.575,0.38,97.9,89.944,13.751,15.108,0.02108,0.021223,0
668031,190.30900611111107,26.73621694444444,68.333,15.14,15.48,14.5,34.26,,0.91,0.21,0.91,20.1,15.14,14.46,,,13.947,13.335,13.073,0.8,15.0,15.14,0.813,0.502,20.1,68.333,13.067,15.574,0.015840000000000003,0.024164,0
668049,192.1003111111111,26.85783194444444,96.125,14.67,15.13,13.33,35.22,,0.98,0.4,0.97,119.5,14.69,13.31,,,11.798,11.138,10.852,0.3,-60.0,14.67,0.691,0.173,119.5,96.125,10.847,14.782,0.024680000000000004,0.027448,0
668051,48.35110888888888,-8.212456944444444,70.333,15.5,15.77,13.26,34.32,,1.06,0.63,1.06,70.8,15.42,13.14,,,11.991,11.278,11.0,0.4,75.0,15.5,0.508,,69.8,70.333,10.977,14.708,0.017050000000000003,0.024999,0
668069,272.8140869444444,36.007796944444436,92.681,13.18,14.22,,34.95,,1.37,0.6,1.36,158.5,13.18,,,,11.392,10.657,10.378,0.3,-20.0,13.18,1.859,0.409,158.0,92.681,10.363,13.815,0.021600000000000005,0.022204,0
668074,14.142263888888888,-2.8433269444444442,77.875,15.1,15.3,13.55,34.55,,0.81,0.21,0.82,52.0,14.77,13.47,,,12.87,12.225,11.959,0.7,65.0,15.1,0.646,0.399,52.0,77.875,11.942,14.886,0.018760000000000002,0.024539,0
668081,154.4133,64.3913961111111,65.5,15.91,16.75,15.74,34.17,,0.95,0.54,0.93,100.7,15.74,15.72,,,14.894,14.179,13.825,0.3,-75.0,15.91,0.891,0.257,101.0,65.5,13.82,16.251,,0.045297,0
668087,193.51266499999997,-8.653798055555555,59.236,15.74,15.96,13.91,34.05,,0.87,0.48,,26.0,15.69,13.81,,,12.929,12.233,11.88,0.4,25.0,15.74,0.536,0.177,26.0,59.236,11.861,15.548,0.014840000000000002,0.05115,0
668097,292.63821388888886,35.77685888888888,66.514,14.92,15.64,13.11,34.23,,0.83,0.07,0.88,46.8,14.93,12.86,,,12.841,12.214,12.05,0.6,30.0,14.92,0.586,0.457,46.8,66.514,12.003,14.795,,0.023595,0
668108,56.26480888888888,-35.97260305555555,20.893,14.11,14.01,12.14,30.4,31.46,1.14,0.08,1.14,155.5,13.96,12.12,,0.89,11.611,10.98,10.797,0.6,-25.0,14.11,0.74,0.585,155.5,20.893,10.794,14.17,0.0033300000000000005,0.008394,0
668111,356.76214611111106,-47.47282388888888,79.5,15.94,15.83,14.75,34.62,,0.94,0.6,0.92,91.0,14.75,14.72,,,14.25,13.479,13.118,0.3,90.0,15.94,0.871,0.219,91.3,79.5,13.113,15.625,,0.045902,0
668122,227.45605499999996,0.46996694444444437,24.889,12.73,13.15,10.78,32.51,31.98,1.34,0.19,1.36,110.7,12.88,10.67,0.45,0.87,9.743,9.066,8.831,0.8,-55.0,12.73,1.734,1.248,110.7,24.889,8.811,12.729,0.006950000000000001,0.009884,0
668132,46.450984999999996,-0.17680694444444442,82.292,14.67,15.03,13.45,34.66,,0.74,0.05,,174.0,14.61,13.29,,,12.297,11.605,11.311,0.9,-5.0,14.67,0.308,0.308,174.0,82.292,11.28,14.505,0.019840000000000003,0.023698,0
668147,197.3951261111111,4.950648888888888,99.583,15.19,15.31,13.6,35.13,,0.99,0.24,0.99,173.4,14.89,13.54,,,12.142,11.429,11.184,0.6,-10.0,15.19,0.579,,173.4,99.583,11.174,14.811,0.024050000000000002,0.022818,0
668152,25.990686111111106,2.3499088888888884,72.625,14.09,14.27,,34.35,,1.02,0.04,1.03,,14.09,,,0.95,11.447,10.755,10.44,0.8,10.0,14.09,1.094,1.039,,72.625,10.431,14.102,0.01718,0.020311,0
668154,154.80409194444442,-5.628975,70.986,14.65,14.95,,34.35,,0.99,0.03,1.0,,14.65,,,,12.265,11.603,11.404,0.9,85.0,14.65,0.977,0.912,,70.986,11.385,14.843,0.017220000000000003,0.021915,0
668159,208.20944194444442,-30.710044999999997,99.042,14.24,14.62,12.73,35.09,34.99,1.06,0.04,1.09,,14.24,12.62,,,11.924,11.216,10.951,0.5,20.0,14.24,0.83,0.755,,99.042,10.929,14.475,0.024210000000000002,0.02296,0
668179,194.30096388888887,-13.664851944444443,60.236,12.6,12.88,10.54,34.03,,1.43,0.22,1.45,138.7,12.6,10.45,,,9.579,8.87,8.607,0.7,-45.0,12.6,1.511,0.876,138.7,60.236,8.589,12.806,0.014540000000000003,0.011849,0
668181,207.91480999999996,-30.48900194444444,64.847,13.25,13.58,12.2,34.05,,1.18,0.18,1.2,117.4,13.25,12.09,,0.91,10.977,10.267,10.002,0.6,-85.0,13.25,0.85,0.433,117.4,64.847,9.98,13.698,0.015080000000000001,0.018392,0
668184,37.01913111111111,-10.183328055555554,28.0,16.02,16.13,14.57,32.34,,0.67,0.07,0.68,16.8,15.87,14.52,,,14.243,13.586,13.365,0.9,65.0,16.02,0.468,0.398,16.8,28.0,13.356,15.457,0.006890000000000001,0.016027,0
668203,348.64379888888885,28.32702805555555,98.819,13.48,14.29,,35.05,,1.14,0.17,1.18,147.0,13.5,,,,11.128,10.393,10.085,0.8,-30.0,13.48,0.83,0.656,147.0,98.819,10.044,13.573,0.023090000000000003,0.017445,0
668208,209.32878111111108,15.458276944444442,76.903,14.26,14.44,12.9,34.57,,1.1,0.23,1.1,20.6,14.26,12.86,,,11.481,10.73,10.473,0.7,35.0,14.26,1.094,0.711,20.6,76.903,10.464,14.232,0.018300000000000004,0.019816,0
668209,55.17549888888888,-37.51085694444444,19.231,13.74,13.5,11.56,32.21,31.77,1.17,0.05,1.18,45.1,13.41,11.54,0.32,0.86,10.835,10.181,9.982,1.0,-55.0,13.74,0.812,0.739,45.1,19.231,9.977,13.57,0.005210000000000001,0.009599,0
668210,181.30342111111108,28.782083888888884,43.653,14.91,15.17,14.05,33.41,,1.0,0.11,1.01,30.8,14.89,14.01,,,13.469,12.854,12.605,0.7,35.0,14.91,1.12,1.098,30.8,43.653,12.598,17.841,0.010520000000000002,0.011105,0
668214,180.4573361111111,16.53007111111111,90.125,15.02,15.22,14.41,34.92,,0.75,0.09,0.77,,14.83,14.32,,,13.382,12.726,12.489,0.8,90.0,15.02,0.316,0.246,,90.125,12.472,14.628,0.021860000000000004,0.018024,0
668229,344.17242388888883,-7.379028055555555,61.472,13.66,14.25,12.86,34.05,,1.11,0.22,1.12,159.8,13.66,12.79,,,12.429,11.754,11.49,0.6,-45.0,13.66,1.288,0.777,159.8,61.472,11.476,14.012,0.014810000000000002,0.012845,0
668234,190.15353388888886,-5.13301,32.659,11.5,12.52,10.67,32.84,32.6,1.11,0.21,1.11,88.5,12.05,10.62,,,9.607,8.921,8.633,0.4,-77.0,11.5,2.085,0.709,88.5,32.659,8.624,16.04,0.008470000000000002,0.010082,0
668243,200.23384111111108,1.5037319444444444,83.236,14.83,15.2,13.65,34.74,,0.83,0.12,0.84,87.1,14.83,13.59,,,12.777,12.038,11.768,0.8,75.0,14.83,0.354,0.234,87.1,83.236,11.757,14.919,0.020240000000000005,0.023977,0
668248,218.52351388888886,-7.660293055555554,95.458,16.9,17.18,,35.02,,0.57,0.36,,100.5,16.83,,,,14.357,13.621,13.333,0.3,-80.0,16.9,0.372,0.163,100.5,95.458,13.309,16.233,,0.060304,0
668267,198.59880111111107,-46.11151888888888,37.569,15.3,15.8,10.8,33.16,,1.48,0.34,1.51,50.9,14.69,10.58,,,10.917,10.276,10.057,0.5,75.0,15.3,0.482,,50.9,37.569,10.015,12.639,0.01037,0.011413,0
668293,2.260276944444444,21.624443055555552,90.167,14.52,15.05,,34.85,,1.03,0.28,1.04,30.3,14.52,,,,11.445,10.694,10.421,0.5,45.0,14.52,0.723,0.455,30.3,90.167,10.404,14.316,0.021120000000000003,0.027344,0
668295,119.38532305555555,59.084018888888885,80.153,14.67,14.91,,34.68,,1.01,0.54,1.01,135.0,14.19,,,,11.77,11.044,10.749,0.4,-45.0,14.67,0.793,0.222,135.0,80.153,10.729,14.007,0.01895,0.023005,0
668302,177.07894888888887,-11.649499999999998,90.069,13.92,14.26,13.1,34.95,,0.95,0.12,0.96,87.5,13.93,13.05,,,12.877,12.257,12.055,0.4,-80.0,13.92,0.478,0.397,87.5,90.069,12.046,14.013,0.022250000000000002,0.022938,0
668314,217.2845611111111,41.83065805555555,76.569,14.42,15.35,13.66,34.59,,0.9,0.54,0.89,17.8,14.74,13.64,,,12.027,11.322,10.975,0.6,25.0,14.42,0.645,0.264,17.8,76.569,10.971,14.873,0.018030000000000004,0.024473,0
